time,stock,stock_size,scenario_label,b_v_k
0,Strong stock,4,None,1
0,Weak stock,2,None,1
0.1,Strong stock,3.9961798831189035,None,0.9990449707797259
0.1,Weak stock,1.998089021630629,None,0.9990445108153145
0.2,Strong stock,3.9926999355187727,None,0.9981749838796932
0.2,Weak stock,1.9963464776815552,None,0.9981732388407776
0.30000000000000004,Strong stock,3.9895269060993956,None,0.9973817265248489
0.30000000000000004,Weak stock,1.9947560549287728,None,0.9973780274643864
0.4,Strong stock,3.9866315362493023,None,0.9966578840623256
0.4,Weak stock,1.993303385443139,None,0.9966516927215695
0.5,Strong stock,3.9839849484736907,None,0.9959962371184227
0.5,Weak stock,1.9919742744098359,None,0.9959871372049179
0.6000000000000001,Strong stock,3.9815635053611462,None,0.9953908763402866
0.6000000000000001,Weak stock,1.990757088259231,None,0.9953785441296155
0.7000000000000001,Strong stock,3.97934524923094,None,0.994836312307735
0.7000000000000001,Weak stock,1.9896410115390122,None,0.9948205057695061
0.8,Strong stock,3.9773104837410913,None,0.9943276209352728
0.8,Weak stock,1.9886163325283734,None,0.9943081662641867
0.9,Strong stock,3.9754415008952044,None,0.9938603752238011
0.9,Weak stock,1.9876743109979347,None,0.9938371554989673
1,Strong stock,3.9737222075990823,None,0.9934305518997706
1,Weak stock,1.9868069967798687,None,0.9934034983899344
1.1,Strong stock,3.9721380893434657,None,0.9930345223358664
1.1,Weak stock,1.9860072123806995,None,0.9930036061903498
1.2000000000000002,Strong stock,3.9706760469886535,None,0.9926690117471634
1.2000000000000002,Weak stock,1.9852684738118083,None,0.9926342369059041
1.3,Strong stock,3.969324243434074,None,0.9923310608585185
1.3,Weak stock,1.9845849161143447,None,0.9922924580571724
1.4000000000000001,Strong stock,3.9680719773352786,None,0.9920179943338197
1.4000000000000001,Weak stock,1.9839512319409733,None,0.9919756159704867
1.5,Strong stock,3.9669095792008893,None,0.9917273948002223
1.5,Weak stock,1.9833626209770265,None,0.9916813104885133
1.6,Strong stock,3.965828308271377,None,0.9914570770678443
1.6,Weak stock,1.982814739722706,None,0.991407369861353
1.7000000000000002,Strong stock,3.9648202595630018,None,0.9912050648907504
1.7000000000000002,Weak stock,1.98230365617864,None,0.99115182808932
1.8,Strong stock,3.9638782835485675,None,0.9909695708871419
1.8,Weak stock,1.9818258106433355,None,0.9909129053216678
1.9000000000000001,Strong stock,3.962995912257796,None,0.990748978064449
1.9000000000000001,Weak stock,1.9813779796197144,None,0.9906889898098572
2,Strong stock,3.962167294899584,None,0.990541823724896
2,Weak stock,1.980957244340797,None,0.9904786221703985
2.1,Strong stock,3.9613871377724537,None,0.9903467844431134
2.1,Weak stock,1.9805609613671236,None,0.9902804806835618
2.2,Strong stock,3.960650649467594,None,0.9901626623668985
2.2,Weak stock,1.9801867357499152,None,0.9900933678749576
2.3000000000000003,Strong stock,3.9599534932307914,None,0.9899883733076978
2.3000000000000003,Weak stock,1.9798323976744263,None,0.9899161988372132
2.4000000000000004,Strong stock,3.9592917433534036,None,0.9898229358383509
2.4000000000000004,Weak stock,1.9794959810615995,None,0.9897479905307998
2.5,Strong stock,3.958661845762214,None,0.9896654614405535
2.5,Weak stock,1.979175704212083,None,0.9895878521060415
2.6,Strong stock,3.9580605824592054,None,0.9895151456148014
2.6,Weak stock,1.9788699523245041,None,0.9894349761622521
2.7,Strong stock,3.9574850394002077,None,0.9893712598500519
2.7,Weak stock,1.9785772616896369,None,0.9892886308448184
2.8000000000000003,Strong stock,3.9569325774788524,None,0.9892331443697131
2.8000000000000003,Weak stock,1.9782963053991625,None,0.9891481526995812
2.9000000000000004,Strong stock,3.9564008063090905,None,0.9891002015772726
2.9000000000000004,Weak stock,1.9780258804206308,None,0.9890129402103154
3,Strong stock,3.955887560530997,None,0.9889718901327492
3,Weak stock,1.977764895905341,None,0.9888824479526706
3.1,Strong stock,3.9553908783929037,None,0.9888477195982259
3.1,Weak stock,1.977512362609478,None,0.988756181304739
3.2,Strong stock,3.954908982387715,None,0.9887272455969287
3.2,Weak stock,1.9772673833207666,None,0.9886336916603833
3.3000000000000003,Strong stock,3.9544402617435503,None,0.9886100654358876
3.3000000000000003,Weak stock,1.977029144193648,None,0.988514572096824
3.4000000000000004,Strong stock,3.953983256588806,None,0.9884958141472014
3.4000000000000004,Weak stock,1.9767969069055755,None,0.9883984534527878
3.5,Strong stock,3.953536643629573,None,0.9883841609073932
3.5,Weak stock,1.9765700015556449,None,0.9882850007778224
3.6,Strong stock,3.9530992231933917,None,0.9882748057983479
3.6,Weak stock,1.9763478202344995,None,0.9881739101172498
3.7,Strong stock,3.9526699075076777,None,0.9881674768769194
3.7,Weak stock,1.9761298112013959,None,0.9880649056006979
3.8000000000000003,Strong stock,3.9522477100940834,None,0.9880619275235208
3.8000000000000003,Weak stock,1.9759154736105433,None,0.9879577368052717
3.9000000000000004,Strong stock,3.9518317361716533,None,0.9879579340429133
3.9000000000000004,Weak stock,1.9757043527344527,None,0.9878521763672263
4,Strong stock,3.951421173972082,None,0.9878552934930205
4,Weak stock,1.9754960356370788,None,0.9877480178185394
4.1000000000000005,Strong stock,3.9510152868797714,None,0.9877538217199429
4.1000000000000005,Weak stock,1.9752901472540845,None,0.9876450736270422
4.2,Strong stock,3.9506134061858935,None,0.9876533515464734
4.2,Weak stock,1.9750863467750412,None,0.9875431733875206
4.3,Strong stock,3.9502149259383357,None,0.9875537314845839
4.3,Weak stock,1.9748843250774872,None,0.9874421625387436
4.4,Strong stock,3.9498192949408715,None,0.9874548237352179
4.4,Weak stock,1.9746838007148206,None,0.9873419003574103
4.5,Strong stock,3.949426011531851,None,0.9873565028829627
4.5,Weak stock,1.9744845173010794,None,0.9872422586505397
